mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed,reference_type,reference_class,face_id,surface_type,surface_params,persist_reference_base64
"重合5","0","0","0","新小腿链轮20T M27-改1.15-1","0.159;7.424137044906113E-16;0.13049999999999995;1;7.0001311773341737E-16;-4.0006068649526712E-16;0.78539816339744306;0","0","False","2","","","","",""
"重合5","0","0","1","碗组轴承42-52-7-改1.15-1","0.15900000000000003;1.9119648986108987E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.78539816339745294;0","0","False","2","System.__ComObject","0","cone","","aEIAAAMAAAD//v8ol3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC0AMQBAAGMAaABhAHMAcwBpAHMALgBjAGEAZABfAHIAZQBwAGEAaQByAGUAZAAEAAAAEAAAAAEAAAABAAAAVAAAAP//AQALAG1vRmFjZVJlZl9jAQAAAAAAAAAFAAAAAAMAAAAAAAB9w5QlrUmyVH3DlCWtSbJUAAD//wEAEwBtb0ZpbGxldFN1cmZJZFJlcF9jAAD//wEABgBtb0ZSX2P//wEADQBtb0V4dE9iamVjdF9j//8BABEAbW9DU3RyaW5nSGFuZGxlX2P//v8oRQA6AFwAMgAwADIANQBbjWNbXAAyTlSAf4F2ADIAXACXeMR+dI9/YjQAMgAtADUAMgAtADcALQA5ZTEALgAxADUALgBTAEwARABQAFIAVAAJgP/+/xGXeMR+dI9/YjQAMgAtADUAMgAtADcALQA5ZTEALgAxADUAAgAA/eQnZ//+/wD//v8A//7/AAAAAAAAAAAAAAAAAAAAawIAAP/+/wLYnqSLAAAAAAAAAAAAAAAAAAAAAFQAAAAZ5SdnAgAAAP//AQAUAG1vRW5kRmFjZVN1cmZJZFJlcF9jAAAFgAgAUQAAAA/lJ2cBAAAAAAAAAAAA//8BABcAbW9Gcm9tU2t0RW50U3VyZklkUmVwX2MAAAWACABRAAAAD+UnZwIAAAAAAAAAAAAAAAAAaEIAAAAAAAAAAAAA"
"同心8","1","1","0","碗组轴承42-52-7-改1.15-1","0.1575;1.911426672243788E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.026000000000000002;0","0","False","2","System.__ComObject","0","cylinder","0;0;0.0070000000000000001;0;0;-1;0.026000000000000002","aEIAAAMAAAD//v8ol3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC0AMQBAAGMAaABhAHMAcwBpAHMALgBjAGEAZABfAHIAZQBwAGEAaQByAGUAZAAEAAAAEAAAAAEAAAABAAAAVAAAAP//AQALAG1vRmFjZVJlZl9jAQAAAAAAAAAFAAAAAAMAAAAAAAB9w5QlrUmyVH3DlCWtSbJUAAD//wEAFwBtb0Zyb21Ta3RFbnRTdXJmSWRSZXBfYwAA//8BAAYAbW9GUl9j//8BAA0AbW9FeHRPYmplY3RfY///AQARAG1vQ1N0cmluZ0hhbmRsZV9j//7/KEUAOgBcADIAMAAyADUAW41jW1wAMk5UgH+BdgAyAFwAl3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC4AUwBMAEQAUABSAFQACYD//v8Rl3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AAIAAP3kJ2f//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAGsCAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAD+UnZwEAAAD//wEAEwBtb0ZpbGxldFN1cmZJZFJlcF9jAAAFgAgAVAAAABnlJ2cBAAAAAAD//wEAFABtb0VuZEZhY2VTdXJmSWRSZXBfYwAABYAIAFEAAAAP5SdnAQAAAAAAAAAAAAAAAAAAAAAAaEIAAAAAAAAAAAAA"
"同心8","1","1","1","新大腿链轮20T-改1.15-1","0.15450000000000033;-3.7643499428696714E-16;0.13049999999999964;-1;-2.1720760275899824E-16;-7.262872074925088E-16;0.025999999999999995;0","0","False","2","","","","",""
"重合6","0","0","0","碗组轴承42-52-7-改1.15-1","0.16300000000000001;1.9134001689231946E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.78539816339744828;0","0","False","2","System.__ComObject","0","cone","","aEIAAAMAAAD//v8ol3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC0AMQBAAGMAaABhAHMAcwBpAHMALgBjAGEAZABfAHIAZQBwAGEAaQByAGUAZAAEAAAAEAAAAAEAAAABAAAAVAAAAP//AQALAG1vRmFjZVJlZl9jAQAAAAAAAAAFAAAAAAMAAAAAAAB9w5QlrUmyVH3DlCWtSbJUAAD//wEAEwBtb0ZpbGxldFN1cmZJZFJlcF9jAAD//wEABgBtb0ZSX2P//wEADQBtb0V4dE9iamVjdF9j//8BABEAbW9DU3RyaW5nSGFuZGxlX2P//v8oRQA6AFwAMgAwADIANQBbjWNbXAAyTlSAf4F2ADIAXACXeMR+dI9/YjQAMgAtADUAMgAtADcALQA5ZTEALgAxADUALgBTAEwARABQAFIAVAAJgP/+/xGXeMR+dI9/YjQAMgAtADUAMgAtADcALQA5ZTEALgAxADUAAgAA/eQnZ//+/wD//v8A//7/AAAAAAAAAAAAAAAAAAAAawIAAP/+/wLYnqSLAAAAAAAAAAAAAAAAAAAAAFQAAAAZ5SdnAQAAAP//AQAXAG1vRnJvbVNrdEVudFN1cmZJZFJlcF9jAAAFgAgAUQAAAA/lJ2cBAAAAAAD//wEAFABtb0VuZEZhY2VTdXJmSWRSZXBfYwAABYAIAFEAAAAP5SdnAAAAAAAAAAAAAAAAAAAAAAAAaEIAAAAAAAAAAAAA"
"重合6","0","0","1","新大腿链轮20T-改1.15-1","0.16300000000000034;-3.7458872966351564E-16;0.13049999999999964;1;2.1720760275899824E-16;7.262872074925088E-16;0.78539816339744717;0","0","False","2","","","","",""
"同心9","1","0","0","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.020999999999999998;0","0","False","2","","","","",""
"同心9","1","0","1","碗组轴承42-52-7-改1.15-2","0.17950000000000002;-6.0175940696138135E-17;0.13049999999999998;-1;3.4248999711674418E-16;3.7765340563276536E-16;0.021000000000000001;0","0","False","2","System.__ComObject","0","cylinder","0;0;0.0070000000000000001;0;0;-1;0.021000000000000001","aEIAAAMAAAD//v8ol3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC0AMgBAAGMAaABhAHMAcwBpAHMALgBjAGEAZABfAHIAZQBwAGEAaQByAGUAZAAEAAAAEAAAAAEAAAABAAAAWwAAAP//AQALAG1vRmFjZVJlZl9jAQAAAAAAAAAFAAAAAAMAAAAAAAB9w5QlrUmyVH3DlCWtSbJUAAD//wEAFwBtb0Zyb21Ta3RFbnRTdXJmSWRSZXBfYwAA//8BAAYAbW9GUl9j//8BAA0AbW9FeHRPYmplY3RfY///AQARAG1vQ1N0cmluZ0hhbmRsZV9j//7/KEUAOgBcADIAMAAyADUAW41jW1wAMk5UgH+BdgAyAFwAl3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC4AUwBMAEQAUABSAFQACYD//v8Rl3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AAIAAP3kJ2f//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAGsCAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAD+UnZwIAAAD//wEAEwBtb0ZpbGxldFN1cmZJZFJlcF9jAAAFgAgAVAAAABnlJ2cCAAAAAAD//wEAFABtb0VuZEZhY2VTdXJmSWRSZXBfYwAABYAIAFEAAAAP5SdnAAAAAAAAAAAAAAAAAAAAAAAAaEIAAAAAAAAAAAAA"
"同心10","1","0","0","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.020999999999999998;0","0","False","2","","","","",""
"同心10","1","0","1","2_大腿-改1.15-1","0.17700000000000013;-6.3091381782095478E-15;0.13049999999999989;-1;9.6041176133885765E-18;2.9860266512610748E-16;0.028000000000000001;0","0","False","2","System.__ComObject","0","cylinder","0;0;0.014999999999999999;0;0;-1;0.028000000000000001","aEIAAAMAAAD//v8hMgBfACdZf4EtADllMQAuADEANQAtADEAQABjAGgAYQBzAHMAaQBzAC4AYwBhAGQAXwByAGUAcABhAGkAcgBlAGQABAAAABAAAAABAAAAAQAAAF0AAAD//wEACwBtb0ZhY2VSZWZfYwEAAAAAAAAABQAAAAADAAAAAAAAfcOUJa1JslR9w5QlrUmyVAAA//8BABcAbW9Gcm9tU2t0RW50U3VyZklkUmVwX2MAAP//AQAGAG1vRlJfY///AQANAG1vRXh0T2JqZWN0X2P//wEAEQBtb0NTdHJpbmdIYW5kbGVfY//+/yhGADoAXAAtTvN3uWxcAJVe2HazeH9nXAAyAF8AJ1l/gS0AOWUxAC4AMQA1AFwAMgBfACdZf4EtADllMQAuADEANQAuAFMATABEAFAAUgBUAAmA//7/CjIAXwAnWX+BLQA5ZTEALgAxADUAAgAAsd8bZ//+/wD//v8A//7/AAAAAAAAAAAAAAAAAAAArQMAAP/+/wLYnqSLAAAAAAAAAAAAAAAAAAAAAFwAAACm4BtnBAAAAP//AQAUAG1vRW5kRmFjZVN1cmZJZFJlcF9jAAAFgAgAXAAAAKbgG2cBAAAAoIYBAAAADIAAAAWACABcAAAApuAbZwAAAACghgEAAAAAAAAAAAAAAGhCAAAAAAAAAAAAAA=="
