rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.195702,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-1.5000,+0.3000,0.000000,0.004921,0.084706,0.001079,0.013511,0.002431,0.000000,False,True
2,0.581158,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+1.0000,-1.5000,+0.3000,0.004809,0.262742,0.087701,0.185695,0.008517,0.003752,0.122500,False,False
3,0.619486,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+1.0000,-1.5000,+0.3000,0.006954,0.301881,0.088756,0.198992,0.009993,0.003973,0.076250,False,False
