rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
59,0.186757,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-1.0000,+0.3000,0.000001,0.006208,0.084694,0.001126,0.014820,0.001950,0.000000,False,True
60,0.186765,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-3.0000,-0.3000,0.000001,0.004450,0.084656,0.001214,0.014044,0.001969,0.000000,False,True
61,0.186821,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,-0.5000,+0.3000,0.000000,0.004915,0.084699,0.001310,0.013612,0.001981,0.000000,False,True
62,0.186827,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,-3.0000,+0.0000,0.000052,0.004579,0.084747,0.003373,0.012714,0.001933,0.001250,False,True
63,0.186883,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-1.5000,+0.3000,0.000001,0.004592,0.084711,0.001318,0.013249,0.001993,0.000000,False,True
64,0.186918,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-1.0000,-0.5000,0.000001,0.004553,0.084641,0.001246,0.015191,0.001947,0.000000,False,True
65,0.187019,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+1.5000,-0.5000,0.000001,0.004454,0.084652,0.001222,0.014414,0.001972,0.000000,False,True
66,0.187071,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-0.5000,-0.5000,0.000001,0.004609,0.084659,0.001250,0.014015,0.001984,0.000000,False,True
67,0.187104,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,+1.5000,+0.0000,0.000000,0.004588,0.084665,0.001286,0.014469,0.001974,0.000000,False,True
68,0.187138,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+2.0000,-0.3000,0.000001,0.004864,0.084634,0.001250,0.015808,0.001943,0.000000,False,True
69,0.187221,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+0.5000,+0.0000,0.000001,0.004744,0.084676,0.001233,0.014701,0.001975,0.000000,False,True
70,0.187261,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,-2.0000,+0.0000,0.000001,0.004621,0.084633,0.001204,0.015885,0.001948,0.000000,False,True
71,0.187266,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+3.0000,-0.5000,0.000001,0.004837,0.084669,0.001288,0.014554,0.001980,0.000000,False,True
72,0.187278,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+2.0000,+0.5000,0.000001,0.004575,0.084666,0.001218,0.014897,0.001973,0.000000,False,True
