rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.189260,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,-0.5000,-0.5000,0.000001,0.010060,0.084679,0.000962,0.014619,0.002083,0.000000,False,True
2,0.198147,+0.0000,+0.0000,+0.0000,+0.0000,+0.0300,-2.0000,-0.5000,-0.5000,0.002899,0.074787,0.086117,0.019900,0.018207,0.002009,0.000000,False,True
3,0.199744,+0.0000,+0.0000,+0.0000,+0.0000,-0.0300,-2.0000,-0.5000,-0.5000,0.002523,0.098172,0.086292,0.019473,0.018117,0.002116,0.000000,False,True
