index,label,action_LL,action_Lcrank,action_RL,action_Rcrank,baseline_height,mean_height,height_delta,min_height,max_height,mean_roll,mean_pitch,max_abs_roll,max_abs_pitch,max_abs_dof_velocity,max_target_error,finite,done_seen,position_LL,target_LL,position_Lcrank,target_Lcrank,position_RL,target_RL,position_Rcrank,target_Rcrank
0,zero,0.0,0.0,0.0,0.0,0.0440545454621315,0.04390569031238556,-0.00014885514974594116,0.043835319578647614,0.044139131903648376,0.12977932393550873,-3.92176843888592e-06,0.1306256502866745,2.3472122848033905e-05,4.861467361450195,0.02326340414583683,True,False,-0.010140227153897285,0.0,-0.02326340414583683,0.0,-0.0035623053554445505,0.0,-0.019031532108783722,0.0
1,single_LL_pos,0.2,0.0,0.0,0.0,0.04413039982318878,0.04233330860733986,-0.0017970912158489227,0.042048417031764984,0.04413039982318878,0.12307042628526688,-0.002652925904840231,0.1305922269821167,0.004805035423487425,6.884194850921631,0.024432212114334106,True,False,0.035567767918109894,0.059999980032444,-0.00035763162304647267,0.0,-0.003604964120313525,0.0,-0.02006262168288231,0.0
2,single_LL_neg,-0.2,0.0,0.0,0.0,0.04418492317199707,0.045352235436439514,0.0011673122644424438,0.0439874604344368,0.04552261531352997,0.13503007590770721,-2.3030832352333164e-08,0.1356486976146698,3.1156931072473526e-05,10.159685134887695,0.043099820613861084,True,False,-0.04718263819813728,-0.059999980032444,-0.043099820613861084,0.0,-0.009673556312918663,0.0,-0.020852088928222656,0.0
3,single_Lcrank_pos,0.0,0.2,0.0,0.0,0.043990522623062134,0.04584667086601257,0.0018561482429504395,0.043963827192783356,0.04594668745994568,0.1368291676044464,-1.5238223340929835e-06,0.1371932029724121,3.353389911353588e-05,8.826620101928711,0.04768741503357887,True,False,0.004096973687410355,0.0,0.012312565930187702,0.059999980032444,-0.0024603873025625944,0.0,-0.01572795957326889,0.0
4,single_Lcrank_neg,0.0,-0.2,0.0,0.0,0.04389376938343048,0.04156520590186119,-0.00232856348156929,0.041515469551086426,0.043939948081970215,0.12003307789564133,-0.0033149621449410915,0.12990689277648926,0.0035370795521885157,5.425601482391357,0.0228388961404562,True,False,-0.02268253266811371,0.0,-0.059251632541418076,-0.059999980032444,-0.008180513978004456,0.0,-0.0228388961404562,0.0
5,single_RL_pos,0.0,0.0,0.2,0.0,0.043962135910987854,0.042432527989149094,-0.0015296079218387604,0.0420352965593338,0.043962135910987854,0.12443701177835464,2.948897304122511e-07,0.12998133897781372,3.0280440114438534e-05,6.26506233215332,0.023277025669813156,True,False,-0.005041546653956175,0.0,-0.022160828113555908,0.0,0.036722954362630844,0.059999980032444,0.0020599141716957092,0.0
6,single_RL_neg,0.0,0.0,-0.2,0.0,0.04416300356388092,0.045249104499816895,0.0010861009359359741,0.044136740267276764,0.04551411420106888,0.13465583324432373,-6.5593594626989216e-06,0.1356181800365448,7.718498818576336e-05,7.689603328704834,0.0419979989528656,True,False,-0.01144392043352127,0.0,-0.024046264588832855,0.0,-0.04560033604502678,-0.059999980032444,-0.0419979989528656,0.0
7,single_Rcrank_pos,0.0,0.0,0.0,0.2,0.04421748220920563,0.04586067050695419,0.0016431882977485657,0.04399318993091583,0.04600713402032852,0.13687865436077118,-6.8312087933009025e-06,0.13740915060043335,3.732019104063511e-05,6.215944766998291,0.04519248753786087,True,False,-0.006110895425081253,0.0,-0.02112628147006035,0.0,0.009229968301951885,0.0,0.014807493425905704,0.059999980032444
8,single_Rcrank_neg,0.0,0.0,0.0,-0.2,0.0439186617732048,0.04160588979721069,-0.00231277197599411,0.04153923690319061,0.04398506134748459,0.12143610417842865,2.4465845172017e-07,0.1300579160451889,2.3638363927602768e-05,4.69597864151001,0.02622627653181553,True,False,-0.011515055783092976,0.0,-0.02622627653181553,0.0,-0.020508458837866783,0.0,-0.05590134114027023,-0.059999980032444
9,combo_a0p20_nnnn,-0.2,-0.2,-0.2,-0.2,0.04394650459289551,0.04192158207297325,-0.0020249225199222565,0.04180482029914856,0.04459197074174881,0.12257903069257736,-4.5119090827938635e-06,0.13227282464504242,3.254390321671963e-05,9.781289100646973,0.02604934573173523,True,False,-0.07441357523202896,-0.059999980032444,-0.08604932576417923,-0.059999980032444,-0.06592869013547897,-0.059999980032444,-0.07989269495010376,-0.059999980032444
