index,action_LL_RL,action_Lcrank_Rcrank,wheel_support_height,nonwheel_clearance,wheel_height_mismatch,active_target_error,final_passive_velocity,peak_passive_velocity,finite,done_seen,position_LL,position_Lcrank,position_RL,position_Rcrank,position_Yaw,position_L234,position_Lcal,position_L12,position_R234,position_Rcal,position_R12,position_P,position_P12,position_L45,position_Lwhl,position_R45,position_Rwhl,position_P23
0,-1.0,-1.0,0.08199930191040039,0.02750307321548462,0.00011971592903137207,3.874301910400391e-06,0.005393658298999071,0.04718460515141487,True,False,-0.30000340938568115,-0.29999613761901855,-0.2999979555606842,-0.3000015318393707,-1.9881747803651706e-08,6.4730888880148996e-06,-1.5843321534703136e-06,0.22818604111671448,4.896105747320689e-05,-4.9718662921804935e-05,-0.22443565726280212,2.964580403386208e-07,-7.516337063862011e-07,2.179291868742439e-06,-2.567322781032999e-06,4.82442083011847e-05,-2.1323592136468505e-06,-7.437683962052688e-07
1,-1.0,-0.75,0.08783650398254395,0.027467697858810425,0.00357857346534729,0.028422847390174866,0.5010323524475098,0.501207172870636,True,False,-0.27168333530426025,-0.2534228563308716,-0.27727168798446655,-0.24710099399089813,-9.795193363970611e-06,0.0045785242691636086,0.00462441798299551,0.9017741084098816,0.020125744864344597,-0.020152833312749863,-1.4425536394119263,-0.0007143187685869634,0.0024070253130048513,0.005197689402848482,-6.252655293792486e-05,0.020663054659962654,-0.0026488599833101034,0.0019250462064519525
2,-1.0,-0.5,0.09315013885498047,0.02750551700592041,0.008327901363372803,0.06404472887516022,0.654044508934021,0.7663907408714294,True,False,-0.2365773320198059,-0.2140447348356247,-0.25365808606147766,-0.19406980276107788,-0.000226816744543612,0.0006333965575322509,0.0007376647554337978,0.575772225856781,0.03855406492948532,-0.03861154988408089,-1.3839070796966553,-0.0015213809674605727,0.00587316881865263,0.002046896144747734,6.720836245222017e-05,0.03961635008454323,-0.001963637303560972,0.004288312513381243
3,-1.0,-0.25,0.09321114420890808,0.027490884065628052,0.01209324598312378,0.08774307370185852,1.724718451499939,1.724718451499939,True,False,-0.22148407995700836,-0.15743283927440643,-0.21225693821907043,-0.1543133556842804,0.00010916728933807462,-0.017375091090798378,-0.017334897071123123,-0.8179369568824768,0.0330449678003788,-0.03308632969856262,-2.07619309425354,-0.004675551317632198,0.009753705002367496,-0.015621960163116455,-0.00015275929763447493,0.03511356934905052,-0.005921137984842062,0.012466602958738804
4,-1.0,0.0,0.10124945640563965,0.027516305446624756,0.023212015628814697,0.10341054201126099,4.741369247436523,4.741369247436523,True,False,-0.2051415741443634,-0.10341054201126099,-0.20275110006332397,-0.09629184007644653,-0.0008662940235808492,-0.032971806824207306,-0.032917723059654236,-0.6931843757629395,0.06752943247556686,-0.06766708940267563,4.898452281951904,-0.0037248716689646244,0.01226310059428215,-0.03087528795003891,-0.0006789911421947181,0.06955172121524811,-0.009628220461308956,0.010896258987486362
5,-1.0,0.25,0.11013546586036682,0.02773645520210266,0.02739599347114563,0.14103439450263977,1.2504076957702637,3.7753820419311523,True,False,-0.16577239334583282,-0.0452873520553112,-0.15896561741828918,-0.06218470260500908,0.0020139124244451523,0.10385385900735855,0.10400305688381195,1.7308541536331177,-0.01918337680399418,0.019154995679855347,4.026804447174072,-0.006457609124481678,0.015243048779666424,0.1063767746090889,-0.0002917806268669665,-0.01606464385986328,-0.0005255354917608202,0.015355364419519901
6,-1.0,0.5,0.11678481101989746,0.02759242057800293,0.0072477757930755615,0.17739707231521606,3.0739200115203857,6.480339527130127,True,False,-0.12260293960571289,-0.001766152330674231,-0.15439735352993011,0.012684153392910957,-0.00022000528406351805,0.09907123446464539,0.09912382066249847,1.8951222896575928,0.13417856395244598,-0.13439160585403442,-4.731540679931641,-0.004443899262696505,0.017162013798952103,0.10161066800355911,-0.0006437258562073112,0.13732776045799255,-0.0017045271815732121,0.012461856007575989
7,-1.0,0.75,0.07622876763343811,0.0274980366230011,0.0004146993160247803,0.19406697154045105,4.972762107849121,6.067371368408203,True,False,-0.13938672840595245,0.030933041125535965,-0.10735063999891281,0.05249070003628731,0.0006010930519551039,-0.05142608657479286,-0.05144425854086876,-0.8889590501785278,-0.0523468516767025,0.052409108728170395,-5.655738830566406,-0.009228947572410107,0.027947640046477318,-0.04810598865151405,-0.0006856340332888067,-0.049076978117227554,0.004206405952572823,0.023625966161489487
8,-1.0,1.0,0.11084771156311035,0.02739948034286499,0.018765777349472046,0.2501183748245239,2.4070029258728027,5.002909183502197,True,False,-0.09591044485569,0.07256726175546646,-0.049881644546985626,0.09738818556070328,0.0010382670443505049,0.01697930321097374,0.017003647983074188,-2.9952175617218018,0.10525099188089371,-0.10528483241796494,4.22491455078125,-0.00767822191119194,0.03347199037671089,0.021343832835555077,-0.0004718111304100603,0.11008253693580627,0.01116922963410616,0.019330253824591637
9,-0.75,-1.0,0.08203214406967163,0.027452856302261353,0.0005678236484527588,0.025700107216835022,0.01790611632168293,0.18660543859004974,True,False,-0.24955114722251892,-0.2753893733024597,-0.25070011615753174,-0.2745128273963928,-0.00013835716526955366,-0.010866362601518631,-0.01093099545687437,1.1264939308166504,-0.008825699798762798,0.00888967327773571,-1.060661792755127,0.0007223403663374484,-0.0023830474819988012,-0.011444250121712685,-5.074336513644084e-05,-0.009481270797550678,0.0018337557557970285,-0.0018239576602354646
10,-0.75,-0.75,0.08515632152557373,0.02749606966972351,5.173683166503906e-05,3.844499588012695e-06,0.003394712693989277,0.03254181891679764,True,False,-0.22500179708003998,-0.22499828040599823,-0.22499622404575348,-0.22500385344028473,2.2067195004638052e-07,1.0175135685130954e-05,4.066923793288879e-06,0.1615801453590393,-8.387967682210729e-06,1.3525548638426699e-05,-0.15911944210529327,-1.3708378787669062e-07,1.4027310157871398e-07,6.42635586700635e-06,-1.6611576256764238e-06,-1.0758443750091828e-05,-1.721335365800769e-06,1.5749317583413358e-07
11,-0.75,-0.5,0.08825382590293884,0.027504950761795044,0.0017252862453460693,0.030814051628112793,0.4376756250858307,0.4376756250858307,True,False,-0.1942991316318512,-0.18081405758857727,-0.19945944845676422,-0.17525064945220947,9.732335456646979e-06,0.0014608928468078375,0.0015212279977276921,0.7609272003173828,0.009729882702231407,-0.009772439487278461,-1.071485161781311,-0.0007074468885548413,0.0031083531212061644,0.0021480428986251354,-7.597860530950129e-05,0.010337870568037033,-0.0023312349803745747,0.0018926901975646615
12,-0.75,-0.25,0.08998823165893555,0.02748274803161621,0.002718418836593628,0.06395076215267181,0.6141131520271301,0.7527245879173279,True,False,-0.1616436243057251,-0.13895076513290405,-0.17150218784809113,-0.12779390811920166,3.3318388886982575e-05,0.0006747985607944429,0.0007804222987033427,0.599273145198822,0.014159702695906162,-0.014259377494454384,-0.9510176777839661,-0.001477781101129949,0.007064897567033768,0.002099837176501751,5.016747672925703e-05,0.015492319129407406,-0.0012461997102946043,0.003931501414626837
13,-0.75,0.0,0.09344860911369324,0.027600616216659546,0.0065902769565582275,0.07840292155742645,1.1096400022506714,1.1096400022506714,True,False,-0.15663234889507294,-0.07064828276634216,-0.14659708738327026,-0.078057661652565,-8.807561971480027e-05,-0.0016174293123185635,-0.0015558120794594288,-0.11467888206243515,0.026927389204502106,-0.027056265622377396,-1.0366004705429077,-0.002270526485517621,0.009884812869131565,-0.00016177962243091315,-0.0001811796973925084,0.02871309593319893,-0.0015397294191643596,0.00620789872482419
14,-0.75,0.25,0.09512791037559509,0.027832984924316406,0.0033443868160247803,0.11684222519397736,2.888036012649536,2.9251129627227783,True,False,-0.11024542152881622,-0.04184222221374512,-0.11696889251470566,-0.033310893923044205,0.0003935268905479461,0.01664748787879944,0.016842477023601532,0.8642866015434265,0.03174605220556259,-0.03192216902971268,-4.174610614776611,-0.0022889976389706135,0.01293474156409502,0.01905769109725952,-0.00034738777321763337,0.033978983759880066,0.0024733785539865494,0.0057236808352172375
15,-0.75,0.5,0.11124300956726074,0.027516603469848633,0.021304965019226074,0.1554817110300064,2.203692674636841,3.3338005542755127,True,False,-0.09239029884338379,0.031692419201135635,-0.07418408244848251,-0.005481703206896782,0.0021863586734980345,0.10628784447908401,0.10644243657588959,1.719990849494934,0.005294503178447485,-0.0054502892307937145,5.833329677581787,-0.004579179920256138,0.018970243632793427,0.10880672931671143,-0.00018145950161851943,0.009143379516899586,0.004419184289872646,0.010466921143233776
16,-0.75,0.75,0.11402606964111328,0.02743631601333618,0.007856518030166626,0.16969433426856995,2.067551612854004,2.703683614730835,True,False,-0.07632926106452942,0.08608604222536087,-0.05530567839741707,0.07997918874025345,0.0017077630618587136,0.08156818151473999,0.08177267760038376,-2.0407350063323975,0.12070059031248093,-0.12091822177171707,-1.7600526809692383,-0.004037139005959034,0.017126619815826416,0.08461462706327438,-0.00013894264702685177,0.12399181723594666,0.007565914653241634,0.00926969200372696
17,-0.75,1.0,0.09570685029029846,0.027474910020828247,0.0050949156284332275,0.20736375451087952,4.566643238067627,4.592833042144775,True,False,-0.05530991405248642,0.11795682460069656,-0.021237242966890335,0.09263625741004944,0.0006083597545512021,0.007807578891515732,0.007940012030303478,-0.05446912720799446,0.0323290079832077,-0.032398004084825516,2.229396104812622,-0.0046661365777254105,0.028833048418164253,0.011270175687968731,-0.00036766345147043467,0.035787761211395264,0.018169745802879333,0.011733274906873703
18,-0.5,-1.0,0.08490422368049622,0.027506977319717407,4.228949546813965e-05,0.06029517948627472,0.08328316360712051,0.4313122034072876,True,False,-0.20847143232822418,-0.24306675791740417,-0.2102951854467392,-0.24220740795135498,-0.00034423329634591937,-0.0035125764552503824,-0.003597457427531481,0.3736489415168762,-0.0032312385737895966,0.0032724246848374605,-0.41139477491378784,0.002156174276024103,-0.00706782191991806,-0.004797098692506552,-0.00012621429050341249,-0.004661581479012966,0.0031229485757648945,-0.005549384281039238
19,-0.5,-0.75,0.0843886137008667,0.027539074420928955,0.00010657310485839844,0.02492627501487732,0.04352954775094986,0.1939488798379898,True,False,-0.17489029467105865,-0.2000737339258194,-0.17483489215373993,-0.20033545792102814,-0.00012560421600937843,-0.010229082778096199,-0.010261784307658672,1.106062650680542,-0.010560847818851471,0.010608025826513767,-1.1129008531570435,0.0006521005416288972,-0.0025458228774368763,-0.010798297822475433,-5.2590417908504605e-05,-0.011189484037458897,0.0012915158877149224,-0.0016441799234598875
20,-0.5,-0.5,0.08736556768417358,0.027586281299591064,0.00011178851127624512,6.020069122314453e-06,0.0024194319266825914,0.01994658261537552,True,False,-0.15000472962856293,-0.14999398589134216,-0.1499968022108078,-0.1500035971403122,3.703671325183677e-07,1.554205664433539e-05,1.0407501576992217e-05,0.10132003575563431,-2.467571221131948e-06,8.598937711212784e-06,-0.0994618684053421,4.4564171020056165e-08,-6.176601914376079e-07,1.237121341546299e-05,-1.5073942449816968e-06,-5.6720773500273935e-06,-9.524855499876139e-07,-4.3562940277297457e-07
21,-0.5,-0.25,0.08829212188720703,0.027616888284683228,0.00021836161613464355,0.03169318288564682,0.3370525538921356,0.3370525538921356,True,False,-0.11838636547327042,-0.10669318586587906,-0.11905555427074432,-0.10564471781253815,0.00015743171388749033,0.0005188719951547682,0.0005697808810509741,0.6751476526260376,0.001474555116146803,-0.0015297760255634785,-0.7571142911911011,-0.00080080860061571,0.0039040001574903727,0.0012249613646417856,-8.436587813775986e-05,0.002227762946859002,-0.0017929485766217113,0.0020069871097803116
22,-0.5,0.0,0.09141647815704346,0.027854233980178833,0.00236433744430542,0.061630845069885254,0.6568785309791565,0.7519237995147705,True,False,-0.08890470117330551,-0.061630845069885254,-0.09613235294818878,-0.0531759187579155,0.00015199693734757602,0.0027386632282286882,0.002843651454895735,0.7251612544059753,0.01346272137016058,-0.013558303005993366,-0.9388424754142761,-0.0012764956336468458,0.007218982558697462,0.004140739794820547,3.9285885577555746e-05,0.014809442684054375,-0.0002983224985655397,0.00327366404235363
23,-0.5,0.25,0.08976522088050842,0.027758538722991943,0.00036653876304626465,0.09124518930912018,0.455470472574234,0.9826089143753052,True,False,-0.07736562937498093,0.0006549205281771719,-0.0587548203766346,-0.01575647108256817,0.0007416559383273125,0.0034920170437544584,0.003554641967639327,0.02307986468076706,0.003835843177512288,-0.003951515536755323,-0.4086436629295349,-0.0027390611357986927,0.012809457257390022,0.005033979658037424,-0.00018308179278392345,0.0060508581809699535,0.001257715979591012,0.006663266569375992
24,-0.5,0.5,0.09987202286720276,0.02757015824317932,0.015146404504776001,0.09867063164710999,1.9783881902694702,1.9783881902694702,True,False,-0.051329370588064194,0.05244218558073044,-0.06134989857673645,0.05684449151158333,0.0017666206695139408,0.051262516528367996,0.05141663923859596,1.1579447984695435,-0.01898318901658058,0.018922869116067886,-2.7848100662231445,-0.003451228840276599,0.013136107474565506,0.05328484997153282,-0.00025723467115312815,-0.016972411423921585,0.007402452174574137,0.007466297131031752
25,-0.5,0.75,0.10831913352012634,0.027406424283981323,0.016968071460723877,0.1395360827445984,2.123100757598877,3.2349965572357178,True,False,-0.010463926941156387,0.09999002516269684,-0.02634880319237709,0.09610778093338013,0.0016762197483330965,0.09434482455253601,0.0945085883140564,1.8570239543914795,0.010522514581680298,-0.010606043972074986,6.174365520477295,-0.004619190935045481,0.020247723907232285,0.0970546156167984,-0.00021643507352564484,0.013649494387209415,0.008182882331311703,0.010999808087944984
26,-0.5,1.0,0.11461323499679565,0.027508437633514404,0.00041168928146362305,0.1584509164094925,1.5607119798660278,2.124628782272339,True,False,0.008450913242995739,0.15797889232635498,-0.00298609072342515,0.1648346483707428,0.0005097147077322006,0.12600351870059967,0.12622202932834625,-1.4964622259140015,0.12698261439800262,-0.12720029056072235,-1.496566653251648,-0.0030355772469192743,0.017401065677404404,0.128900408744812,-0.0003570390399545431,0.13008669018745422,0.013627175241708755,0.007978762499988079
27,-0.25,-1.0,0.07845008373260498,0.027514487504959106,0.003319352865219116,0.0702345222234726,0.2164892852306366,0.6136600971221924,True,False,-0.13904890418052673,-0.23350541293621063,-0.1446905881166458,-0.22976548969745636,-0.0004130581219214946,-0.05456094071269035,-0.054709888994693756,1.384415864944458,-0.03939490020275116,0.039573002606630325,-1.2104488611221313,0.002003688830882311,-0.0066177137196063995,-0.056171439588069916,-0.0002230963291367516,-0.041295554488897324,0.00371988071128726,-0.005026635713875294
28,-0.25,-0.75,0.08686941862106323,0.027594923973083496,0.00017139315605163574,0.058251962065696716,0.09552115201950073,0.4338763654232025,True,False,-0.1330672651529312,-0.16849610209465027,-0.13325196504592896,-0.16940684616565704,-0.00036221614573150873,-0.0036865174770355225,-0.0037466869689524174,0.36364951729774475,-0.0038533660117536783,0.003931055311113596,-0.359202116727829,0.0019841964822262526,-0.007554256357252598,-0.004948895890265703,-0.00012721215898636729,-0.0052538346499204636,0.0017801264766603708,-0.005062571261078119
29,-0.25,-0.5,0.08584395051002502,0.027658969163894653,0.0002117753028869629,0.024595923721790314,0.020599747076630592,0.2177194058895111,True,False,-0.09913600981235504,-0.12578099966049194,-0.09959592670202255,-0.1255585253238678,-0.00014508921594824642,-0.011752046644687653,-0.011800656095147133,1.154649257659912,-0.011049187742173672,0.011080872267484665,-1.127318024635315,0.0005876471404917538,-0.002646579872816801,-0.012315982952713966,-5.0575454224599525e-05,-0.011666444130241871,0.0005768521805293858,-0.0014517701929435134
30,-0.25,-0.25,0.08872562646865845,0.02783706784248352,8.153915405273438e-05,1.9818544387817383e-06,0.0008192454697564244,0.009138991124927998,True,False,-0.07500030845403671,-0.07499946653842926,-0.07500169426202774,-0.07499802112579346,-8.113588734204313e-08,-6.752677563781617e-06,-1.3958177078166045e-05,0.047529321163892746,4.887817340204492e-06,5.238863650447456e-06,-0.04508146271109581,1.0685253926112637e-07,-3.025300543413323e-07,-1.0909882803389337e-05,-6.591840815417527e-07,-2.007415560001391e-06,-6.613439609282068e-07,-2.0252646493190696e-07
31,-0.25,0.0,0.08940288424491882,0.027700155973434448,0.00013637542724609375,0.03131250664591789,0.3396936357021332,0.3396936357021332,True,False,-0.046353574842214584,-0.02855537086725235,-0.043687496334314346,-0.03101416677236557,0.00015252461889758706,0.0018493218813091516,0.001890806364826858,0.3218696117401123,0.0010672761127352715,-0.0011214924743399024,-0.7276361584663391,-0.000778442423325032,0.004224546253681183,0.002486137207597494,-9.348867752123624e-05,0.0018325131386518478,-0.0017092216294258833,0.0019589068833738565
32,-0.25,0.25,0.09581848978996277,0.02740994095802307,0.001262068748474121,0.05622156709432602,0.41491812467575073,0.8038052320480347,True,False,-0.026806151494383812,0.027415966615080833,-0.01877843588590622,0.02257092110812664,0.000762317911721766,0.025738755241036415,0.02581065334379673,1.145815372467041,0.0324714332818985,-0.03253413364291191,-1.9438841342926025,-0.0017351021524518728,0.0060999151319265366,0.026800286024808884,5.884494953534158e-07,0.03375136852264404,0.0011454697232693434,0.003909682855010033
33,-0.25,0.5,0.08963626623153687,0.027366220951080322,0.0044171810150146484,0.09411618113517761,0.9042437672615051,1.0267670154571533,True,False,-0.00856929924339056,0.0799398273229599,0.018846502527594566,0.055883828550577164,0.00037538856850005686,-0.01876407489180565,-0.018738532438874245,-0.4381144344806671,0.003040374955162406,-0.0031781166326254606,-0.7007983326911926,-0.0025044730864465237,0.013181658461689949,-0.017345553264021873,-0.00022398869623430073,0.005291135981678963,0.0024582671467214823,0.006413569673895836
34,-0.25,0.75,0.09127208590507507,0.02737143635749817,0.008971363306045532,0.1009826734662056,4.147430896759033,4.147430896759033,True,False,0.01765844225883484,0.12406456470489502,0.02510783076286316,0.12401733547449112,0.0007096582558006048,-0.03291415423154831,-0.03288304805755615,-0.6436536908149719,0.011005282402038574,-0.011080495081841946,6.094738483428955,-0.004142655059695244,0.01931057497859001,-0.030897898599505424,-0.0006474964902736247,0.013732483610510826,0.0020427594427019358,0.010392040945589542
35,-0.25,1.0,0.11024808883666992,0.0274885892868042,0.028318405151367188,0.12692700326442719,2.6780471801757812,4.184907913208008,True,False,0.051927004009485245,0.18534784018993378,0.042135369032621384,0.1783476620912552,0.002263246802613139,0.11024922132492065,0.1104181781411171,1.6515169143676758,-0.03428611159324646,0.034252796322107315,3.6558988094329834,-0.004368050955235958,0.018241288140416145,0.11276734620332718,-0.0005352528532966971,-0.03180431202054024,0.013589833863079548,0.009579380974173546
36,0.0,-1.0,0.08646878600120544,0.02759668231010437,0.00016760826110839844,0.11994779109954834,0.14963333308696747,1.0723923444747925,True,False,-0.10130409151315689,-0.20609933137893677,-0.11994779109954834,-0.18692085146903992,-0.0009093881235457957,-0.007724797818809748,-0.007821784354746342,0.214568093419075,-0.0067772031761705875,0.006949293427169323,-0.42758795619010925,0.003967512398958206,-0.01413534302264452,-0.009952399879693985,-0.000414432433899492,-0.009743843227624893,0.006006697192788124,-0.010084597393870354
37,0.0,-0.75,0.0782257616519928,0.027626007795333862,0.0011982619762420654,0.06784895062446594,0.22693805396556854,0.6863805055618286,True,False,-0.0649552121758461,-0.15813715755939484,-0.06700219959020615,-0.15715105831623077,-0.0003823640290647745,-0.05292893573641777,-0.053076326847076416,1.3743784427642822,-0.047474779188632965,0.0476238839328289,-1.3046050071716309,0.0017973276553675532,-0.006939476355910301,-0.05453615263104439,-0.00028016569558531046,-0.049275606870651245,0.0018389892065897584,-0.0044833580031991005
38,0.0,-0.5,0.08798998594284058,0.027746587991714478,1.761317253112793e-05,0.05637190490961075,0.1408407837152481,0.4836089611053467,True,False,-0.053625430911779404,-0.09822412580251694,-0.05637190490961075,-0.0963703989982605,-0.00040612596785649657,-0.0042929393239319324,-0.004354591481387615,0.2541973292827606,-0.004277752712368965,0.0043485406786203384,-0.3132436275482178,0.0018106899224221706,-0.00778047414496541,-0.005455441307276487,-0.0001192983181681484,-0.005627295468002558,0.0005023432313464582,-0.004557910840958357
39,0.0,-0.25,0.08647772669792175,0.02767607569694519,2.5957822799682617e-05,0.023983463644981384,0.02704244665801525,0.2369217425584793,True,False,-0.023786019533872604,-0.05110810697078705,-0.023983463644981384,-0.05113322660326958,-0.00014770547568332404,-0.012547899037599564,-0.012595845386385918,1.1796395778656006,-0.012402035295963287,0.01244746521115303,-1.169490098953247,0.0005203840555623174,-0.002731388434767723,-0.013106580823659897,-4.9716461944626644e-05,-0.013015723787248135,-0.0001854791771620512,-0.0012661349028348923
40,0.0,0.0,0.08917391300201416,0.027569681406021118,8.302927017211914e-05,9.277400181417761e-07,0.00047928947606123984,0.0004948300775140524,True,False,-3.9569212617607263e-07,3.186431456470018e-07,-9.277400181417761e-07,9.27404755657335e-07,-3.1122461052746075e-08,-2.092733524250434e-07,1.9134934063913533e-06,0.0022614432964473963,2.61882496488397e-06,-5.065859113528859e-06,0.0014091822085902095,3.261467540482954e-08,-1.0705856823278737e-07,8.502976243107696e-07,2.674000221247752e-08,4.292893208912574e-06,6.39383586076292e-08,-6.039932287649208e-08
41,0.0,0.25,0.08948647975921631,0.02745687961578369,0.00035691261291503906,0.0314229354262352,0.24119079113006592,0.24119079113006592,True,False,0.02670374885201454,0.048396095633506775,0.0314229354262352,0.04410219565033913,0.00025244636344723403,0.0020605868194252253,0.002097693970426917,0.21604947745800018,0.0008038593805395067,-0.0008526162710040808,-0.4875509440898895,-0.0007744740578345954,0.0045491354539990425,0.0026488672010600567,-0.00010318492422811687,0.0015758570516481996,-0.0011100691044703126,0.001857591443695128
