index,label,action_LL,action_Lcrank,action_RL,action_Rcrank,baseline_height,mean_height,height_delta,min_height,max_height,mean_roll,mean_pitch,max_abs_roll,max_abs_pitch,max_abs_dof_velocity,max_target_error,finite,done_seen,position_LL,target_LL,position_Lcrank,target_Lcrank,position_RL,target_RL,position_Rcrank,target_Rcrank
0,zero,0.0,0.0,0.0,0.0,0.08460833132266998,0.08452658355236053,-8.174777030944824e-05,0.08452104777097702,0.08460880070924759,0.27960488200187683,3.673970638828905e-07,0.2799158990383148,2.009212039411068e-06,0.3938933312892914,0.01713120937347412,True,False,-0.01652275025844574,0.0,-0.016571514308452606,0.0,-0.017094772309064865,0.0,-0.01713120937347412,0.0
1,single_LL_pos,0.2,0.0,0.0,0.0,0.08439754694700241,0.08516070991754532,0.0007631629705429077,0.0843944102525711,0.08518877625465393,0.2807442545890808,0.0031762593425810337,0.28081047534942627,0.003306729719042778,0.41491222381591797,0.0455874502658844,True,False,0.014412527903914452,0.059999980032444,0.014067986980080605,0.0,-0.01780557446181774,0.0,-0.01781362295150757,0.0
2,single_LL_neg,-0.2,0.0,0.0,0.0,0.08458611369132996,0.08387754112482071,-0.0007085725665092468,0.0838671550154686,0.08458611369132996,0.2762826979160309,-0.0022460119798779488,0.2796567380428314,0.0022995108738541603,1.2680318355560303,0.0423046238720417,True,False,-0.04257810488343239,-0.059999980032444,-0.0423046238720417,0.0,-0.02050754614174366,0.0,-0.020515726879239082,0.0
3,single_Lcrank_pos,0.0,0.2,0.0,0.0,0.08445646613836288,0.08513623476028442,0.0006797686219215393,0.08445251733064651,0.08517703413963318,0.28073546290397644,0.0029611624777317047,0.2808678448200226,0.0030516136903315783,0.7308191657066345,0.045808639377355576,True,False,0.013866390101611614,0.0,0.014191340655088425,0.059999980032444,-0.01736561767756939,0.0,-0.017388567328453064,0.0
4,single_Lcrank_neg,0.0,-0.2,0.0,0.0,0.08453021198511124,0.08388777077198029,-0.0006424412131309509,0.08387666195631027,0.08453021198511124,0.27632832527160645,-0.002227343153208494,0.2796179950237274,0.0022688116878271103,0.8938108086585999,0.043423641473054886,True,False,-0.043423641473054886,0.0,-0.043882954865694046,-0.059999980032444,-0.020359031856060028,0.0,-0.0203861016780138,0.0
5,single_RL_pos,0.0,0.0,0.2,0.0,0.08448419719934464,0.08526507765054703,0.0007808804512023926,0.08447769284248352,0.08527463674545288,0.28102803230285645,-0.0034527606330811977,0.2810637950897217,0.0034903823398053646,0.6776649951934814,0.043700121343135834,True,False,-0.017853818833827972,0.0,-0.017844608053565025,0.0,0.016299856826663017,0.059999980032444,0.01594609022140503,0.0
6,single_RL_neg,0.0,0.0,-0.2,0.0,0.08452698588371277,0.0838286429643631,-0.0006983429193496704,0.08381590247154236,0.08453147113323212,0.27621933817863464,0.001932883751578629,0.27962204813957214,0.001997712068259716,0.8716292977333069,0.04169148579239845,True,False,-0.02163105085492134,0.0,-0.021659789606928825,0.0,-0.04193725436925888,-0.059999980032444,-0.04169148579239845,0.0
7,single_Rcrank_pos,0.0,0.0,0.0,0.2,0.08454528450965881,0.08533960580825806,0.0007943212985992432,0.08452706038951874,0.0853438749909401,0.28157758712768555,-0.002763172145932913,0.2815954089164734,0.002784590469673276,0.49670690298080444,0.04392765089869499,True,False,-0.014370692893862724,0.0,-0.014422895386815071,0.0,0.015788350254297256,0.0,0.016072329133749008,0.059999980032444
8,single_Rcrank_neg,0.0,0.0,0.0,-0.2,0.08442279696464539,0.0838681235909462,-0.0005546733736991882,0.08385325223207474,0.08442279696464539,0.27643218636512756,0.0017705205827951431,0.2792156934738159,0.0018387582385912538,0.880403459072113,0.04172741621732712,True,False,-0.021572723984718323,0.0,-0.021580208092927933,0.0,-0.04172741621732712,0.0,-0.042176615446805954,-0.059999980032444
9,combo_a0p20_nnnn,-0.2,-0.2,-0.2,-0.2,0.08456902951002121,0.08173730224370956,-0.0028317272663116455,0.08172639459371567,0.08456902951002121,0.2691271901130676,1.7902155491356098e-07,0.2796405851840973,0.0004716235853265971,0.7417899966239929,0.016924478113651276,True,False,-0.07520528882741928,-0.059999980032444,-0.07536443322896957,-0.059999980032444,-0.07683499157428741,-0.059999980032444,-0.07692445814609528,-0.059999980032444
10,combo_a0p20_nnnp,-0.2,-0.2,-0.2,0.2,0.08447441458702087,0.08322187513113022,-0.0012525394558906555,0.08320838958024979,0.08447467535734177,0.2722233235836029,-0.006323622539639473,0.27940812706947327,0.006384197156876326,1.070123553276062,0.07778706401586533,True,False,-0.07469630241394043,-0.059999980032444,-0.07479037344455719,-0.059999980032444,-0.01844499260187149,-0.059999980032444,-0.017787085846066475,0.059999980032444
11,combo_a0p20_nnpn,-0.2,-0.2,0.2,-0.2,0.08452250063419342,0.08329737186431885,-0.0012251287698745728,0.08328504115343094,0.08452250063419342,0.27230316400527954,-0.00684532942250371,0.2795860469341278,0.006952615454792976,1.2096306085586548,0.07705144584178925,True,False,-0.07539629936218262,-0.059999980032444,-0.07552255690097809,-0.059999980032444,-0.017051467671990395,0.059999980032444,-0.017764290794730186,-0.059999980032444
12,combo_a0p20_nnpp,-0.2,-0.2,0.2,0.2,0.08447135239839554,0.08440343290567398,-6.791949272155762e-05,0.08439616113901138,0.08484730869531631,0.2743917405605316,-0.012141094543039799,0.2799590528011322,0.012306831777095795,1.6507205963134766,0.01975172385573387,True,False,-0.07552570849657059,-0.059999980032444,-0.07566428929567337,-0.059999980032444,0.04024825617671013,0.059999980032444,0.04029858857393265,0.059999980032444
13,combo_a0p20_npnn,-0.2,0.2,-0.2,-0.2,0.08460544049739838,0.08317679166793823,-0.001428648829460144,0.08316464722156525,0.08461396396160126,0.27231842279434204,0.005640882533043623,0.27992990612983704,0.005717608146369457,1.012956976890564,0.07820746302604675,True,False,-0.01887577399611473,-0.059999980032444,-0.01820748671889305,0.059999980032444,-0.07119723409414291,-0.059999980032444,-0.0713232085108757,-0.059999980032444
14,combo_a0p20_npnp,-0.2,0.2,-0.2,0.2,0.08466842025518417,0.0845065489411354,-0.0001618713140487671,0.084501713514328,0.08466842025518417,0.2795252203941345,-2.4317608904311783e-07,0.28011223673820496,5.9487996622920036e-05,0.35176312923431396,0.07584322988986969,True,False,-0.016521863639354706,-0.059999980032444,-0.01584325172007084,0.059999980032444,-0.015920542180538177,-0.059999980032444,-0.015280329622328281,0.059999980032444
15,combo_a0p20_nppn,-0.2,0.2,0.2,-0.2,0.08456933498382568,0.08457799255847931,8.657574653625488e-06,0.08455429971218109,0.08458194136619568,0.27979448437690735,8.058346452344267e-07,0.2798096239566803,2.3872125893831253e-06,0.44061923027038574,0.07778395712375641,True,False,-0.016240132972598076,-0.059999980032444,-0.01556477416306734,0.059999980032444,-0.01778397336602211,0.059999980032444,-0.01852051354944706,-0.059999980032444
16,combo_a0p20_nppp,-0.2,0.2,0.2,0.2,0.08450958877801895,0.08575049787759781,0.0012409090995788574,0.0844929963350296,0.08575469255447388,0.2821059226989746,-0.005354686174541712,0.2821527123451233,0.005411092657595873,2.1263113021850586,0.07452116161584854,True,False,-0.015174432657659054,-0.059999980032444,-0.014521182514727116,0.059999980032444,0.03977995365858078,0.059999980032444,0.039832137525081635,0.059999980032444
