index,label,action_LL,action_Lcrank,action_RL,action_Rcrank,baseline_height,mean_height,height_delta,min_height,max_height,mean_roll,mean_pitch,max_abs_roll,max_abs_pitch,max_abs_dof_velocity,max_target_error,finite,done_seen,position_LL,target_LL,position_Lcrank,target_Lcrank,position_RL,target_RL,position_Rcrank,target_Rcrank
10,combo_a0p40_nnnp,-0.4,-0.4,-0.4,0.4,0.04403214901685715,0.046622153371572495,0.0025900043547153473,0.04402078688144684,0.0477079376578331,0.12879213690757751,-0.02876223251223564,0.142033651471138,0.02963421121239662,6.713724136352539,0.11497211456298828,True,False,-0.14183485507965088,-0.119999960064888,-0.1502726823091507,-0.119999960064888,-0.049959730356931686,-0.119999960064888,0.00502784363925457,0.119999960064888
11,combo_a0p40_nnpn,-0.4,-0.4,0.4,-0.4,0.04407811909914017,0.03965207189321518,-0.004426047205924988,0.039610855281353,0.04415825009346008,0.11414504051208496,0.00034461182076483965,0.13069722056388855,0.00036934216041117907,13.144660949707031,0.06898300349712372,True,False,-0.13777756690979004,-0.119999960064888,-0.14835752546787262,-0.119999960064888,0.05151505768299103,0.119999960064888,-0.05101695656776428,-0.119999960064888
12,combo_a0p40_nnpp,-0.4,-0.4,0.4,0.4,0.04404498636722565,0.043194785714149475,-0.0008502006530761719,0.04280219227075577,0.04404498636722565,0.11640001088380814,-0.02865321934223175,0.1302885115146637,0.028913239017128944,6.59320068359375,0.028401032090187073,True,False,-0.13358044624328613,-0.119999960064888,-0.14840099215507507,-0.119999960064888,0.1191830188035965,0.119999960064888,0.10465320944786072,0.119999960064888
13,combo_a0p40_npnn,-0.4,0.4,-0.4,-0.4,0.043973036110401154,0.04849030077457428,0.004517264664173126,0.043973036110401154,0.04910731315612793,0.14644044637680054,6.017989562678849e-06,0.14868871867656708,3.8714148104190826e-05,5.584532260894775,0.12176864594221115,True,False,-0.0575009360909462,-0.119999960064888,-0.001768687623552978,0.119999960064888,-0.12224625796079636,-0.119999960064888,-0.13001932203769684,-0.119999960064888
14,combo_a0p40_npnp,-0.4,0.4,-0.4,0.4,0.04404591768980026,0.054182469844818115,0.010136552155017853,0.04399188607931137,0.05440141260623932,0.16719265282154083,-6.203039447427727e-06,0.16799569129943848,2.5012297555804253e-05,7.527741432189941,0.11260232329368591,True,False,-0.05370625481009483,-0.119999960064888,0.0073976400308310986,0.119999960064888,-0.04447847232222557,-0.119999960064888,0.01018110103905201,0.119999960064888
15,combo_a0p40_nppn,-0.4,0.4,0.4,-0.4,0.04386534541845322,0.04240872338414192,-0.0014566220343112946,0.04229038208723068,0.044009849429130554,0.11093724519014359,0.035682518035173416,0.13014937937259674,0.03590572252869606,4.6554975509643555,0.11479150503873825,True,False,-0.0512353889644146,-0.119999960064888,0.005208454094827175,0.119999960064888,0.05260271206498146,0.119999960064888,-0.053357671946287155,-0.119999960064888
16,combo_a0p40_nppp,-0.4,0.4,0.4,0.4,0.04410295933485031,0.05078039690852165,0.006677437573671341,0.04386032372713089,0.05083305388689041,0.15478241443634033,7.091019597282866e-06,0.15497420728206635,4.249601624906063e-05,10.635461807250977,0.1129462942481041,True,False,-0.04894013702869415,-0.119999960064888,0.00705366488546133,0.119999960064888,0.1123785525560379,0.119999960064888,0.10134589672088623,0.119999960064888
17,combo_a0p40_pnnn,0.4,-0.4,-0.4,-0.4,0.04399682581424713,0.04042230173945427,-0.003574524074792862,0.040382012724876404,0.044015102088451385,0.11333150416612625,-0.009487878531217575,0.1301727443933487,0.013881833292543888,6.940729141235352,0.07241351902484894,True,False,0.04758644104003906,0.119999960064888,-0.05396602675318718,-0.119999960064888,-0.12380608171224594,-0.119999960064888,-0.1388353407382965,-0.119999960064888
18,combo_a0p40_pnnp,0.4,-0.4,-0.4,0.4,0.044002607464790344,0.04344537854194641,-0.0005572289228439331,0.042712628841400146,0.044002607464790344,0.1098480373620987,-0.04858030378818512,0.13012878596782684,0.049006734043359756,4.062038421630859,0.1130228042602539,True,False,0.05533134192228317,0.119999960064888,-0.055571235716342926,-0.119999960064888,-0.047969918698072433,-0.119999960064888,0.006977158132940531,0.119999960064888
19,combo_a0p40_pnpn,0.4,-0.4,0.4,-0.4,0.04400362819433212,0.04280558601021767,-0.0011980421841144562,0.03500049561262131,0.04684024304151535,-0.1258196085691452,5.4561110118811484e-06,0.1404751092195511,0.003758799284696579,5.6216888427734375,0.07571439445018768,True,False,0.07287303358316422,0.119999960064888,-0.04428556561470032,-0.119999960064888,0.06670069694519043,0.119999960064888,-0.047378748655319214,-0.119999960064888
